ID_Transaccion,Producto,Categoria,Precio_Unitario,Cantidad_Vendida,Descuento,Metodo_Pago,Fecha
T001,Laptop Pro 15,Electronica,1200.50,2,0.00,Tarjeta,2023-01-15
T002,Mouse Inalambrico,Electronica,25.00,5,0.10,Efectivo,2023-01-16
T003,Teclado Mecanico,Electronica,,3,0.05,Tarjeta,2023-01-16
T004,Silla Gamer,Muebles,150.00,1,,Transferencia,2023-01-17
T005,Monitor 27 Pulgadas,Electronica,300.00,,0.15,Tarjeta,2023-01-18
T006,Escritorio de Madera,Muebles,200.00,2,0.00,Efectivo,2023-01-18
T007,Auriculares Bluetooth,Electronica,80.00,4,0.20,,2023-01-19
T008,Cable HDMI,Accesorios,15.00,10,0.00,Efectivo,2023-01-20
T009,Webcam HD,Accesorios,45.00,3,0.05,Tarjeta,2023-01-20
T010,Soporte para Monitor,Muebles,35.00,,0.00,Transferencia,2023-01-21
T011,Laptop Pro 15,Electronica,1200.50,1,0.10,Tarjeta,2023-01-22
T012,Mouse Inalambrico,Electronica,25.00,2,,Efectivo,2023-01-22
T013,Teclado Mecanico,Electronica,85.00,1,0.00,Tarjeta,2023-01-23
T014,Silla Gamer,muebles,150.00,4,0.10,Tarjeta,2023-01-24
T015,Monitor 27 Pulgadas,Electronica,300.00,2,0.05,Transferencia,2023-01-25
T016,Escritorio de Madera,MUEBLES,200.00,1,0.00,Efectivo,2023-01-25
T017,Auriculares Bluetooth,Electronica,,2,0.10,Tarjeta,2023-01-26
T018,Cable HDMI,Accesorios,15.00,5,0.00,,2023-01-27
T019,Webcam HD,accesorios,45.00,1,0.00,Efectivo,2023-01-28
T020,Soporte para Monitor,Muebles,35.00,3,0.15,Tarjeta,2023-01-29
