Folio;Nombre del Articulo;Descripcion;Precio;Cantidad;Fecha de Compra;Monto;Impuesto;total_venta
SEL-10796;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;3629.25;4;01/03/2024;14517.0;2322.72;14517.0
SEL-10732;Lámpara LED Escritorio;3 niveles de temperatura de color;2788.26;4;01/06/2023;11153.04;1784.49;11153.04
SEL-11933;Monitor Curvo 27';Resolución 2K 144Hz;4168.86;2;20/01/2024;8337.72;1334.04;8337.72
SEL-11410;Silla de Oficina;Soporte lumbar ajustable;7251.61;2;30/01/2024;14503.22;2320.52;14503.22
SEL-10131;Silla de Oficina;Soporte lumbar ajustable;2989.45;4;20/08/2023;11957.8;1913.25;11957.8
SEL-12259;Smartphone X;Pantalla OLED 6.5 pulgadas;1259.89;2;16/01/2023;2519.78;403.16;2519.78
SEL-11054;Teclado Inalámbrico;Teclas silenciosas español;4107.99;5;02/11/2023;20539.95;3286.39;20539.949999999997
SEL-12446;Monitor Curvo 27';Resolución 2K 144Hz;7221.68;4;06/02/2024;28886.72;4621.88;28886.72
SEL-12252;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;5192.44;1;06/01/2023;5192.44;830.79;5192.44
SEL-12376;Batería Portátil;20000mAh carga rápida;2904.7;2;29/01/2024;5809.4;929.5;5809.4
SEL-12171;Cafetera Espresso;Presión 15 bares automática;3220.3;3;16/04/2024;9660.9;1545.74;9660.900000000001
SEL-12280;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;6607.67;5;29/01/2023;33038.35;5286.14;33038.35
SEL-12380;Silla de Oficina;Soporte lumbar ajustable;3498.57;3;29/07/2023;10495.71;1679.31;10495.710000000001
SEL-10662;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;6891.24;4;29/09/2023;27564.96;4410.39;27564.96
SEL-11800;Cafetera Espresso;Presión 15 bares automática;4429.66;1;03/04/2024;4429.66;708.75;4429.66
SEL-10998;Teclado Inalámbrico;Teclas silenciosas español;1528.53;4;07/05/2024;6114.12;978.26;6114.12
SEL-11034;Silla de Oficina;Soporte lumbar ajustable;6921.06;3;10/02/2023;20763.18;3322.11;20763.18
SEL-11596;Batería Portátil;20000mAh carga rápida;6322.68;4;28/07/2023;25290.72;4046.52;25290.72
SEL-10962;Monitor Curvo 27';Resolución 2K 144Hz;919.97;1;22/03/2023;919.97;147.2;919.97
SEL-11676;Reloj Inteligente;Sensor de ritmo cardíaco y GPS;3116.03;2;19/09/2023;6232.06;997.13;6232.06
SEL-10935;Silla de Oficina;Soporte lumbar ajustable;7667.16;2;10/02/2023;15334.32;2453.49;15334.32
SEL-12447;Silla de Oficina;Soporte lumbar ajustable;7348.53;3;02/02/2023;22045.59;3527.29;22045.59
SEL-10970;Cafetera Espresso;Presión 15 bares automática;3178.17;1;14/08/2023;3178.17;508.51;3178.17
SEL-11699;Cafetera Espresso;Presión 15 bares automática;7036.88;4;02/03/2024;28147.52;4503.6;28147.52
SEL-10991;Mochila Porta Laptop;Impermeable con puerto USB;2042.4;2;14/03/2023;4084.8;653.57;4084.8
SEL-10960;Smartphone X;Pantalla OLED 6.5 pulgadas;5963.1;2;01/06/2023;11926.2;1908.19;11926.2
SEL-11595;Teclado Inalámbrico;Teclas silenciosas español;1003.72;4;13/01/2023;4014.88;642.38;4014.88
SEL-11012;Cafetera Espresso;Presión 15 bares automática;7473.56;2;11/03/2023;14947.12;2391.54;14947.12
SEL-10595;Cafetera Espresso;Presión 15 bares automática;6499.49;4;04/12/2023;25997.96;4159.67;25997.96
SEL-10000;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;0.0;4;12/11/2023;0.0;0.0;0.0
SEL-12000;Batería Portátil;20000mAh carga rápida;2988.59;1;14/03/2023;2988.59;478.17;2988.59
SEL-11404;Monitor Curvo 27';Resolución 2K 144Hz;5853.33;5;22/01/2023;29266.65;4682.66;29266.65
SEL-10929;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;6256.07;3;05/07/2023;18768.21;3002.91;18768.21
SEL-11317;Audífonos Noise Cancelling;Batería 40 horas Bluetooth;2851.1;3;03/05/2023;8553.3;1368.53;8553.3
SEL-11126;Mochila Porta Laptop;Impermeable con puerto USB;2309.53;1;10/01/2024;2309.53;369.52;2309.53
