Folio,Nombre del Articulo,Descripcion,Precio,Cantidad,Fecha de Compra,Monto,Impuesto
SEL-10796,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3629.25,4,01/03/2024,14517.0,2322.72
SEL-10732,Lámpara LED Escritorio,3 niveles de temperatura de color,2788.26,4,01/06/2023,11153.04,1784.49
SEL-11933,Monitor Curvo 27',Resolución 2K 144Hz,4168.86,2,20/01/2024,8337.72,1334.04
SEL-11410,Silla de Oficina,Soporte lumbar ajustable,7251.61,2,30/01/2024,14503.22,2320.52
SEL-10131,Silla de Oficina,Soporte lumbar ajustable,2989.45,4,20/08/2023,11957.8,1913.25
SEL-12259,Smartphone X,Pantalla OLED 6.5 pulgadas,1259.89,2,16/01/2023,2519.78,403.16
SEL-11054,Teclado Inalámbrico,Teclas silenciosas español,4107.99,5,02/11/2023,20539.95,3286.39
SEL-12446,Monitor Curvo 27',Resolución 2K 144Hz,7221.68,4,06/02/2024,28886.72,4621.88
SEL-12252,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,5192.44,1,06/01/2023,5192.44,830.79
SEL-12376,Batería Portátil,20000mAh carga rápida,2904.7,2,29/01/2024,5809.4,929.5
SEL-12171,Cafetera Espresso,Presión 15 bares automática,3220.3,3,16/04/2024,9660.9,1545.74
SEL-12280,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6607.67,5,29/01/2023,33038.35,5286.14
SEL-12380,Silla de Oficina,Soporte lumbar ajustable,3498.57,3,29/07/2023,10495.71,1679.31
SEL-10662,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6891.24,4,29/09/2023,27564.96,4410.39
SEL-11800,Cafetera Espresso,Presión 15 bares automática,4429.66,1,03/04/2024,4429.66,708.75
SEL-10998,Teclado Inalámbrico,Teclas silenciosas español,1528.53,4,07/05/2024,6114.12,978.26
SEL-11034,Silla de Oficina,Soporte lumbar ajustable,6921.06,3,10/02/2023,20763.18,3322.11
SEL-11596,Batería Portátil,20000mAh carga rápida,6322.68,4,28/07/2023,25290.72,4046.52
SEL-10962,Monitor Curvo 27',Resolución 2K 144Hz,919.97,1,22/03/2023,919.97,147.2
SEL-11676,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,3116.03,2,19/09/2023,6232.06,997.13
SEL-10935,Silla de Oficina,Soporte lumbar ajustable,7667.16,2,10/02/2023,15334.32,2453.49
SEL-12447,Silla de Oficina,Soporte lumbar ajustable,7348.53,3,02/02/2023,22045.59,3527.29
SEL-10970,Cafetera Espresso,Presión 15 bares automática,3178.17,1,14/08/2023,3178.17,508.51
SEL-11699,Cafetera Espresso,Presión 15 bares automática,7036.88,4,02/03/2024,28147.52,4503.6
SEL-10991,Mochila Porta Laptop,Impermeable con puerto USB,2042.4,2,14/03/2023,4084.8,653.57
SEL-10960,Smartphone X,Pantalla OLED 6.5 pulgadas,5963.1,2,01/06/2023,11926.2,1908.19
SEL-11595,Teclado Inalámbrico,Teclas silenciosas español,1003.72,4,13/01/2023,4014.88,642.38
SEL-11012,Cafetera Espresso,Presión 15 bares automática,7473.56,2,11/03/2023,14947.12,2391.54
SEL-10595,Cafetera Espresso,Presión 15 bares automática,6499.49,4,04/12/2023,25997.96,4159.67
SEL-10000,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,,4,12/11/2023,0.0,0.0
SEL-12000,Batería Portátil,20000mAh carga rápida,2988.59,1,14/03/2023,2988.59,478.17
SEL-11404,Monitor Curvo 27',Resolución 2K 144Hz,5853.33,5,22/01/2023,29266.65,4682.66
SEL-10929,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6256.07,3,05/07/2023,18768.21,3002.91
SEL-11317,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2851.1,3,03/05/2023,8553.3,1368.53
SEL-11126,Mochila Porta Laptop,Impermeable con puerto USB,2309.53,1,10/01/2024,2309.53,369.52
SEL-11485,Cafetera Espresso,Presión 15 bares automática,5826.8,1,31/01/2023,5826.8,932.29
SEL-12344,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3798.3,2,31/01/2024,7596.6,1215.46
SEL-11764,Monitor Curvo 27',Resolución 2K 144Hz,4361.75,5,28/04/2023,21808.75,3489.4
SEL-10042,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,,3,13/04/2023,0.0,0.0
SEL-11838,Monitor Curvo 27',Resolución 2K 144Hz,5594.64,1,03/05/2024,5594.64,895.14
SEL-11622,Mochila Porta Laptop,Impermeable con puerto USB,7561.11,3,20/02/2024,22683.33,3629.33
SEL-12150,Batería Portátil,20000mAh carga rápida,269.12,1,14/02/2024,269.12,43.06
SEL-10807,Smartphone X,Pantalla OLED 6.5 pulgadas,2233.47,1,30/03/2023,2233.47,357.36
SEL-11377,Silla de Oficina,Soporte lumbar ajustable,2671.67,1,14/03/2024,2671.67,427.47
SEL-11244,Lámpara LED Escritorio,3 niveles de temperatura de color,5102.13,4,22/01/2024,20408.52,3265.36
SEL-10787,Lámpara LED Escritorio,3 niveles de temperatura de color,4604.54,1,08/05/2023,4604.54,736.73
SEL-10417,Monitor Curvo 27',Resolución 2K 144Hz,3029.17,4,17/03/2023,12116.68,1938.67
SEL-12193,Cafetera Espresso,Presión 15 bares automática,1027.47,1,11/11/2023,1027.47,164.4
SEL-11541,Lámpara LED Escritorio,3 niveles de temperatura de color,3910.72,5,29/06/2023,19553.6,3128.58
SEL-12214,Mochila Porta Laptop,Impermeable con puerto USB,6323.94,1,19/02/2023,6323.94,1011.83
SEL-11286,Monitor Curvo 27',Resolución 2K 144Hz,2773.85,2,18/05/2023,5547.7,887.63
SEL-10012,Silla de Oficina,Soporte lumbar ajustable,,4,12/03/2023,0.0,0.0
SEL-10525,Lámpara LED Escritorio,3 niveles de temperatura de color,4900.92,4,20/01/2023,19603.68,3136.59
SEL-11632,Teclado Inalámbrico,Teclas silenciosas español,2899.94,3,27/03/2023,8699.82,1391.97
SEL-10112,Cafetera Espresso,Presión 15 bares automática,5326.68,3,13/12/2023,15980.04,2556.81
SEL-10710,Batería Portátil,20000mAh carga rápida,2734.88,5,21/09/2023,13674.4,2187.9
SEL-10271,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1389.15,1,20/01/2024,1389.15,222.26
SEL-11725,Silla de Oficina,Soporte lumbar ajustable,5133.05,2,28/01/2024,10266.1,1642.58
SEL-11477,Batería Portátil,20000mAh carga rápida,4832.12,1,22/02/2023,4832.12,773.14
SEL-11275,Lámpara LED Escritorio,3 niveles de temperatura de color,4330.79,1,19/06/2023,4330.79,692.93
SEL-11946,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,1289.63,4,01/12/2023,5158.52,825.36
SEL-10808,Batería Portátil,20000mAh carga rápida,953.41,5,12/12/2023,4767.05,762.73
SEL-11358,Mochila Porta Laptop,Impermeable con puerto USB,3720.51,4,16/02/2023,14882.04,2381.13
SEL-12323,Teclado Inalámbrico,Teclas silenciosas español,3977.25,5,04/05/2024,19886.25,3181.8
SEL-11380,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,689.58,3,20/09/2023,2068.74,331.0
SEL-10912,Teclado Inalámbrico,Teclas silenciosas español,3273.81,5,23/03/2024,16369.05,2619.05
SEL-11779,Lámpara LED Escritorio,3 niveles de temperatura de color,407.28,4,10/09/2023,1629.12,260.66
SEL-10538,Cafetera Espresso,Presión 15 bares automática,3051.02,2,13/09/2023,6102.04,976.33
SEL-10642,Lámpara LED Escritorio,3 niveles de temperatura de color,1393.35,3,28/09/2023,4180.05,668.81
SEL-10812,Batería Portátil,20000mAh carga rápida,2723.01,1,10/03/2024,2723.01,435.68
SEL-12312,Cafetera Espresso,Presión 15 bares automática,3156.55,4,19/07/2023,12626.2,2020.19
SEL-11797,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,1056.97,1,20/03/2024,1056.97,169.12
SEL-11043,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,3578.82,5,02/11/2023,17894.1,2863.06
SEL-10907,Teclado Inalámbrico,Teclas silenciosas español,4871.14,4,29/04/2023,19484.56,3117.53
SEL-12092,Batería Portátil,20000mAh carga rápida,2500.07,4,17/09/2023,10000.28,1600.04
SEL-11494,Cafetera Espresso,Presión 15 bares automática,2649.61,2,23/01/2024,5299.22,847.88
SEL-11268,Mochila Porta Laptop,Impermeable con puerto USB,1170.95,3,29/08/2023,3512.85,562.06
SEL-11468,Cafetera Espresso,Presión 15 bares automática,4838.49,3,29/05/2023,14515.47,2322.48
SEL-12143,Teclado Inalámbrico,Teclas silenciosas español,541.22,4,23/03/2024,2164.88,346.38
SEL-10269,Teclado Inalámbrico,Teclas silenciosas español,6819.2,1,26/07/2023,6819.2,1091.07
SEL-10416,Cafetera Espresso,Presión 15 bares automática,6200.98,5,07/07/2023,31004.9,4960.78
SEL-11422,Lámpara LED Escritorio,3 niveles de temperatura de color,4945.24,5,23/12/2023,24726.2,3956.19
SEL-12220,Mochila Porta Laptop,Impermeable con puerto USB,3024.39,1,04/02/2023,3024.39,483.9
SEL-11165,Batería Portátil,20000mAh carga rápida,3276.07,5,14/04/2023,16380.35,2620.86
SEL-10393,Mochila Porta Laptop,Impermeable con puerto USB,1571.08,2,04/03/2023,3142.16,502.75
SEL-10139,Silla de Oficina,Soporte lumbar ajustable,3932.24,3,04/11/2023,11796.72,1887.48
SEL-10021,Cafetera Espresso,Presión 15 bares automática,,1,29/03/2024,0.0,0.0
SEL-10284,Mochila Porta Laptop,Impermeable con puerto USB,3248.65,3,14/02/2023,9745.95,1559.35
SEL-11815,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,1208.47,5,25/03/2023,6042.35,966.78
SEL-11294,Lámpara LED Escritorio,3 niveles de temperatura de color,2576.48,1,17/05/2023,2576.48,412.24
SEL-11172,Mochila Porta Laptop,Impermeable con puerto USB,6790.0,1,27/04/2024,6790.0,1086.4
SEL-11655,Monitor Curvo 27',Resolución 2K 144Hz,7435.51,5,23/03/2023,37177.55,5948.41
SEL-11469,Silla de Oficina,Soporte lumbar ajustable,4702.15,5,29/11/2023,23510.75,3761.72
SEL-10032,Batería Portátil,20000mAh carga rápida,,2,28/12/2023,0.0,0.0
SEL-11505,Smartphone X,Pantalla OLED 6.5 pulgadas,6534.72,2,01/04/2024,13069.44,2091.11
SEL-12390,Monitor Curvo 27',Resolución 2K 144Hz,3689.66,5,07/11/2023,18448.3,2951.73
SEL-10329,Teclado Inalámbrico,Teclas silenciosas español,3029.49,3,12/01/2024,9088.47,1454.16
SEL-11460,Batería Portátil,20000mAh carga rápida,7471.91,3,03/12/2023,22415.73,3586.52
SEL-10931,Lámpara LED Escritorio,3 niveles de temperatura de color,3958.98,1,29/11/2023,3958.98,633.44
SEL-12425,Monitor Curvo 27',Resolución 2K 144Hz,2983.6,3,05/05/2024,8950.8,1432.13
SEL-11266,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,6292.9,3,12/06/2023,18878.7,3020.59
SEL-11166,Monitor Curvo 27',Resolución 2K 144Hz,4198.49,4,10/02/2023,16793.96,2687.03
SEL-10265,Silla de Oficina,Soporte lumbar ajustable,5869.0,5,04/02/2023,29345.0,4695.2
SEL-10495,Mochila Porta Laptop,Impermeable con puerto USB,1808.49,3,01/01/2023,5425.47,868.08
SEL-11080,Mochila Porta Laptop,Impermeable con puerto USB,2771.95,4,29/12/2023,11087.8,1774.05
SEL-10949,Cafetera Espresso,Presión 15 bares automática,4887.49,5,25/01/2024,24437.45,3909.99
SEL-10683,Teclado Inalámbrico,Teclas silenciosas español,5659.27,3,27/07/2023,16977.81,2716.45
SEL-12072,Lámpara LED Escritorio,3 niveles de temperatura de color,5572.03,2,17/03/2024,11144.06,1783.05
SEL-10811,Smartphone X,Pantalla OLED 6.5 pulgadas,1078.91,2,08/09/2023,2157.82,345.25
SEL-11008,Silla de Oficina,Soporte lumbar ajustable,4553.11,3,20/05/2023,13659.33,2185.49
SEL-11481,Batería Portátil,20000mAh carga rápida,2375.28,5,26/07/2023,11876.4,1900.22
SEL-11584,Silla de Oficina,Soporte lumbar ajustable,3443.18,3,23/06/2023,10329.54,1652.73
SEL-10458,Teclado Inalámbrico,Teclas silenciosas español,3495.15,3,23/04/2023,10485.45,1677.67
SEL-10013,Monitor Curvo 27',Resolución 2K 144Hz,,2,12/06/2023,0.0,0.0
SEL-12173,Silla de Oficina,Soporte lumbar ajustable,4095.36,4,26/08/2023,16381.44,2621.03
SEL-10705,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,4824.72,1,29/07/2023,4824.72,771.96
SEL-12233,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1815.59,2,30/05/2023,3631.18,580.99
SEL-10348,Cafetera Espresso,Presión 15 bares automática,955.9,1,16/02/2023,955.9,152.94
SEL-12333,Smartphone X,Pantalla OLED 6.5 pulgadas,5457.27,3,29/04/2024,16371.81,2619.49
SEL-12171,Cafetera Espresso,Presión 15 bares automática,3220.3,3,16/04/2024,9660.9,1545.74
SEL-11315,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,1345.34,1,28/02/2024,1345.34,215.25
SEL-12445,Monitor Curvo 27',Resolución 2K 144Hz,5590.04,3,05/09/2023,16770.12,2683.22
SEL-11757,Mochila Porta Laptop,Impermeable con puerto USB,298.02,5,14/02/2024,1490.1,238.42
SEL-10016,Teclado Inalámbrico,Teclas silenciosas español,,1,16/02/2023,0.0,0.0
SEL-11324,Monitor Curvo 27',Resolución 2K 144Hz,1353.18,1,13/02/2024,1353.18,216.51
SEL-10121,Teclado Inalámbrico,Teclas silenciosas español,241.31,1,17/07/2023,241.31,38.61
SEL-12144,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,6207.38,4,08/05/2024,24829.52,3972.72
SEL-10681,Monitor Curvo 27',Resolución 2K 144Hz,5450.12,2,25/04/2024,10900.24,1744.04
SEL-10037,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,,4,16/07/2023,0.0,0.0
SEL-10847,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,5405.54,4,02/02/2024,21622.16,3459.55
SEL-11887,Cafetera Espresso,Presión 15 bares automática,1600.48,2,09/05/2024,3200.96,512.15
SEL-10716,Mochila Porta Laptop,Impermeable con puerto USB,1249.95,1,27/04/2023,1249.95,199.99
SEL-11250,Monitor Curvo 27',Resolución 2K 144Hz,2556.62,3,26/04/2023,7669.86,1227.18
SEL-11776,Teclado Inalámbrico,Teclas silenciosas español,4567.92,5,29/01/2024,22839.6,3654.34
SEL-10859,Teclado Inalámbrico,Teclas silenciosas español,6068.41,2,24/03/2023,12136.82,1941.89
SEL-12403,Mochila Porta Laptop,Impermeable con puerto USB,6514.59,5,20/03/2023,32572.95,5211.67
SEL-12145,Monitor Curvo 27',Resolución 2K 144Hz,3067.63,5,13/12/2023,15338.15,2454.1
SEL-12023,Cafetera Espresso,Presión 15 bares automática,1401.44,1,12/11/2023,1401.44,224.23
SEL-11977,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2017.45,1,26/07/2023,2017.45,322.79
SEL-11130,Lámpara LED Escritorio,3 niveles de temperatura de color,2862.89,1,27/09/2023,2862.89,458.06
SEL-10181,Lámpara LED Escritorio,3 niveles de temperatura de color,652.58,2,13/10/2023,1305.16,208.83
SEL-12113,Silla de Oficina,Soporte lumbar ajustable,6514.03,5,21/01/2023,32570.15,5211.22
SEL-11041,Monitor Curvo 27',Resolución 2K 144Hz,6489.69,5,25/01/2023,32448.45,5191.75
SEL-11003,Smartphone X,Pantalla OLED 6.5 pulgadas,6511.43,4,06/05/2023,26045.72,4167.32
SEL-12401,Cafetera Espresso,Presión 15 bares automática,5724.27,5,13/07/2023,28621.35,4579.42
SEL-10453,Smartphone X,Pantalla OLED 6.5 pulgadas,3003.82,3,09/07/2023,9011.46,1441.83
SEL-11292,Smartphone X,Pantalla OLED 6.5 pulgadas,7520.4,4,24/12/2023,30081.6,4813.06
SEL-12100,Smartphone X,Pantalla OLED 6.5 pulgadas,6352.64,1,05/02/2024,6352.64,1016.42
SEL-12351,Silla de Oficina,Soporte lumbar ajustable,4152.22,4,27/02/2024,16608.88,2657.42
SEL-12137,Teclado Inalámbrico,Teclas silenciosas español,6926.1,3,30/08/2023,20778.3,3324.53
SEL-10976,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,3340.83,4,15/07/2023,13363.32,2138.13
SEL-11530,Reloj Inteligente,Sensor de ritmo cardíaco y GPS,6577.73,5,31/03/2024,32888.65,5262.18
SEL-11115,Monitor Curvo 27',Resolución 2K 144Hz,3405.24,5,21/05/2023,17026.2,2724.19
SEL-12254,Silla de Oficina,Soporte lumbar ajustable,6485.52,5,23/01/2024,32427.6,5188.42
SEL-12191,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,786.08,3,14/04/2024,2358.24,377.32
SEL-11174,Mochila Porta Laptop,Impermeable con puerto USB,4112.85,5,10/03/2024,20564.25,3290.28
SEL-11431,Monitor Curvo 27',Resolución 2K 144Hz,7071.63,3,10/03/2023,21214.89,3394.38
SEL-10977,Audífonos Noise Cancelling,Batería 40 horas Bluetooth,2880.38,3,27/01/2023,8641.14,1382.58
SEL-11074,Silla de Oficina,Soporte lumbar ajustable,1431.48,2,11/03/2023,2862.96,458.07
SEL-11963,Silla de Oficina,Soporte lumbar ajustable,4724.23,4,13/10/2023,18896.92,3023.51
