ID_Transaccion,Producto,Categoria,Precio_Unitario,Cantidad_Vendida,Descuento,Metodo_Pago,Fecha
T001,Laptop Pro 15,Electronica,2401.0,2.0,0.0,Tarjeta,2023-01-15
T002,Mouse Inalambrico,Electronica,50.0,5.0,0.1,Efectivo,2023-01-16
T003,Teclado Mecanico,Electronica,,3.0,0.05,Tarjeta,2023-01-16
T004,Silla Gamer,Muebles,300.0,1.0,,Transferencia,2023-01-17
T005,Monitor 27 Pulgadas,Electronica,600.0,,0.15,Tarjeta,2023-01-18
T006,Escritorio de Madera,Muebles,400.0,2.0,0.0,Efectivo,2023-01-18
T007,Auriculares Bluetooth,Electronica,160.0,4.0,0.2,,2023-01-19
T008,Cable HDMI,Accesorios,30.0,10.0,0.0,Efectivo,2023-01-20
T009,Webcam HD,Accesorios,90.0,3.0,0.05,Tarjeta,2023-01-20
T010,Soporte para Monitor,Muebles,70.0,,0.0,Transferencia,2023-01-21
T011,Laptop Pro 15,Electronica,2401.0,1.0,0.1,Tarjeta,2023-01-22
T012,Mouse Inalambrico,Electronica,50.0,2.0,,Efectivo,2023-01-22
T013,Teclado Mecanico,Electronica,170.0,1.0,0.0,Tarjeta,2023-01-23
T014,Silla Gamer,muebles,300.0,4.0,0.1,Tarjeta,2023-01-24
T015,Monitor 27 Pulgadas,Electronica,600.0,2.0,0.05,Transferencia,2023-01-25
T016,Escritorio de Madera,MUEBLES,400.0,1.0,0.0,Efectivo,2023-01-25
T017,Auriculares Bluetooth,Electronica,,2.0,0.1,Tarjeta,2023-01-26
T018,Cable HDMI,Accesorios,30.0,5.0,0.0,,2023-01-27
T019,Webcam HD,accesorios,90.0,1.0,0.0,Efectivo,2023-01-28
T020,Soporte para Monitor,Muebles,70.0,3.0,0.15,Tarjeta,2023-01-29
